Marca,Carroceria,Quilometragem,Capacidade_do_motor,Tipo_de_motor,Registro,Ano,Modelo,log_preco
Mercedes-Benz,sedan,215651.56,5.0,Petrol,yes,2008,S 500,10.292145542327912
BMW,sedan,539128.9,2.8,Petrol,yes,1996,528,8.779557455883728
Renault,van,106216.44,1.5,Diesel,yes,2014,Kangoo,9.017968479328726
Mercedes-Benz,crossover,276806.48000000004,3.5,Other,yes,2008,ML 350,9.878169744551839
Mercedes-Benz,sedan,510160.77999999997,5.0,Petrol,yes,2001,S 500,9.51044496442652
Mercedes-Benz,van,428084.43999999994,2.2,Diesel,yes,2008,Vito,9.126958763037132
Volkswagen,vagon,426475.1,2.0,Diesel,no,2006,Passat B6,8.517193191416238
BMW,crossover,260713.08,4.8,Petrol,yes,2007,X5,10.081633737919603
BMW,sedan,130356.54,3.0,Diesel,yes,2010,730,10.515966830028619
BMW,other,407163.02,1.8,Petrol,yes,1995,318,9.093806555720231
Renault,van,321868.0,1.9,Diesel,yes,2002,Trafic,8.961879012677683
BMW,crossover,11265.380000000001,4.4,Petrol,yes,2015,X5 M,11.79810440720389
BMW,sedan,434521.8,1.8,Petrol,no,1995,318,7.408530566894626
Mercedes-Benz,sedan,386241.6,3.5,Petrol,yes,2006,S 350,10.819778284410283
Renault,van,394288.3,2.0,Diesel,yes,2008,Trafic,9.179881164491475
Mercedes-Benz,van,204386.18,2.2,Diesel,yes,2005,Vito,9.21024036697585
Audi,crossover,33796.14,3.0,Petrol,yes,2015,A6 Allroad,11.156236235215168
Mitsubishi,sedan,244619.68,1.6,Petrol,yes,2007,Lancer,8.779557455883728
Audi,sedan,429693.78,1.9,Diesel,no,2003,A6,8.366370301681654
Audi,sedan,429693.78,2.5,Diesel,no,1999,A6,8.006367567650246
Mercedes-Benz,sedan,386241.6,2.2,Diesel,yes,2000,E-Class,9.071078304642676
Renault,vagon,286462.51999999996,2.0,Petrol,yes,2008,Scenic,9.104979856318357
Mercedes-Benz,sedan,305774.60000000003,1.8,Gas,yes,2011,E-Class,9.923290179832307
BMW,sedan,281634.5,3.0,Petrol,no,2006,330,9.104979856318357
Mercedes-Benz,sedan,168980.7,1.8,Petrol,yes,2006,E-Class,9.503009985939002
Volkswagen,sedan,313821.3,1.9,Diesel,no,2001,Passat B5,8.216088098632316
Volkswagen,van,202776.84,2.0,Diesel,yes,2012,Caddy,9.195226734166134
Audi,hatch,675922.8,2.0,Diesel,no,2004,A3,8.216088098632316
Toyota,crossover,313821.3,4.0,Gas,yes,2003,Land Cruiser Prado,9.6614159913364
Mercedes-Benz,sedan,289681.2,2.2,Diesel,yes,2012,E-Class,10.106428396532818
Mitsubishi,sedan,313821.3,1.6,Gas,yes,2007,Lancer,8.922658299524402
Volkswagen,van,371757.54,2.5,Diesel,yes,2002,Caravelle,9.39182824802156
Volkswagen,hatch,82076.34,1.4,Petrol,yes,2014,Polo,9.525771357380366
BMW,sedan,461880.58,2.5,Gas,yes,1999,525,9.011889433252344
Renault,van,357273.48,1.5,Diesel,yes,2009,Kangoo,8.85352256068954
Renault,vagon,344398.76,1.5,Diesel,yes,2004,Megane,8.817297783866575
Audi,sedan,394288.3,3.0,Diesel,yes,2006,A8,9.825526011066415
Toyota,sedan,133575.22,2.0,Petrol,yes,2009,Avensis,9.567944883732848
Mercedes-Benz,crossover,337961.4,3.2,Diesel,yes,2007,GL 320,10.257659366256743
Mitsubishi,crossover,143231.25999999998,3.8,Petrol,yes,2008,Pajero Wagon,9.740968623038354
Mercedes-Benz,crossover,209214.2,4.7,Gas,yes,2008,GL 450,10.154246270883311
Audi,vagon,535910.22,2.5,Diesel,no,2000,A6,7.882314918980268
Mitsubishi,sedan,186683.44,1.5,Petrol,yes,2008,Lancer X,9.047821442478408
Mercedes-Benz,sedan,651782.7,2.0,Diesel,yes,1992,200,8.294049640102028
Renault,other,210823.54,1.5,Diesel,yes,2011,Kangoo,9.305650551780507
Mercedes-Benz,sedan,222088.92,2.0,Petrol,yes,2007,E-Class,9.581903928408666
BMW,sedan,80467.0,2.5,Petrol,yes,1988,520,8.318498320504338
Volkswagen,crossover,1609.34,2.0,Petrol,yes,2014,Tiguan,10.357742824813725
Renault,van,333133.38,1.5,Diesel,yes,2003,Kangoo,8.411832675758411
Volkswagen,other,333133.38,1.9,Diesel,yes,2004,Caddy,8.809862805379057
Mitsubishi,crossover,49889.53999999999,2.4,Petrol,yes,2011,Outlander XL,9.94270826568941
Mercedes-Benz,crossover,0.0,2.98,Diesel,yes,2016,GLS 350,11.58987724680423
BMW,sedan,537519.5599999999,2.0,Diesel,no,1999,320,8.160518247477505
Audi,sedan,28968.12,1.8,Other,yes,2015,A5,10.571316925111784
Toyota,crossover,241401.0,4.7,Gas,yes,2002,Land Cruiser 100,9.51044496442652
Mitsubishi,sedan,281634.5,1.6,Petrol,yes,2007,Lancer,8.724207360800564
BMW,crossover,122309.84,4.4,Petrol,yes,2010,X6 M,10.725467604939041
BMW,sedan,474755.3,2.0,Petrol,yes,1994,520,8.496990484098719
BMW,other,8046.7,2.0,Petrol,yes,2014,Z4,10.757902880692196
Toyota,crossover,305774.60000000003,2.7,Gas,yes,2005,Land Cruiser Prado,9.862665558015873
Mitsubishi,crossover,191511.46,2.4,Gas,yes,2008,Outlander,9.314700387300425
Mitsubishi,sedan,223698.26,1.5,Other,yes,2012,Lancer X,9.011889433252344
Volkswagen,sedan,378194.9,2.0,Petrol,yes,2007,Passat B6,9.239899174217728
Renault,van,337961.4,1.1,Diesel,yes,2010,Scenic,9.39182824802156
BMW,sedan,53108.22,2.0,Diesel,yes,2014,520,10.753638481905739
Volkswagen,other,418428.4,1.8,Gas,no,1994,Golf III,7.313220387090301
BMW,crossover,251057.04,4.4,Gas,no,2002,X5,8.756210091886738
Mercedes-Benz,hatch,249447.7,1.5,Petrol,yes,2005,A 150,9.093806555720231
Mercedes-Benz,van,257494.4,3.0,Diesel,yes,2007,Vito,9.449357272446683
Mitsubishi,sedan,333133.38,1.6,Gas,yes,2007,Lancer,8.987196820661973
Toyota,crossover,101388.42,4.0,Petrol,yes,2008,FJ Cruiser,10.292145542327912
Renault,van,334742.72000000003,1.5,Diesel,yes,2008,Kangoo,8.867850063029406
Renault,crossover,165762.02000000002,2.5,Gas,yes,2010,Koleos,9.291920358968605
Toyota,crossover,0.0,4.5,Diesel,yes,2016,Land Cruiser 200,12.180754837545884
Volkswagen,sedan,91732.38,2.0,Diesel,yes,2013,Passat B7,10.203592144986466
Volkswagen,other,102997.76,2.0,Petrol,yes,2011,Scirocco,9.803667217253917
BMW,sedan,220479.58,5.0,Other,yes,2005,M5,10.203592144986466
BMW,other,482802.0,2.2,Petrol,yes,2002,320,9.103868127465667
Toyota,crossover,131965.88,2.7,Petrol,yes,2013,Venza,10.401227936753463
BMW,other,262322.42000000004,4.8,Petrol,yes,2008,X5,10.146433731146518
Toyota,crossover,246229.02,2.0,Petrol,yes,2003,Rav 4,9.093806555720231
Audi,sedan,305774.60000000003,3.0,Petrol,yes,2006,A6,9.388486557359657
Mercedes-Benz,sedan,201167.5,2.2,Diesel,yes,2010,E-Class,10.030120203469494
Audi,sedan,180246.08000000002,1.6,Petrol,yes,1980,80,6.396929655216146
BMW,sedan,265541.1,2.2,Gas,yes,2003,520,9.472704636443673
Audi,other,96560.4,2.0,Petrol,yes,2011,A5,10.126631103850338
Toyota,crossover,191511.46,4.0,Gas,yes,2008,Land Cruiser Prado,10.19988156558993
Mercedes-Benz,van,0.0,2.2,Diesel,yes,2016,V 250,11.382554786308235
Volkswagen,van,321868.0,2.0,Diesel,yes,2008,Caddy,8.699514748210191
Audi,vagon,413600.37999999995,2.5,Diesel,yes,2003,A6,9.190137664658664
Audi,other,317039.98000000004,2.0,Diesel,yes,2006,A6,9.539644119118783
Renault,van,263931.76,2.5,Diesel,yes,2009,Trafic,9.409191230721348
Mercedes-Benz,crossover,329914.69999999995,2.7,Diesel,yes,2005,ML 270,9.51044496442652
BMW,crossover,321868.0,4.8,Petrol,yes,2005,X5,9.803667217253917
BMW,crossover,321868.0,3.0,Diesel,yes,2010,X5,10.404262840448617
Volkswagen,crossover,233354.3,1.4,Petrol,yes,2011,Tiguan,9.735068900911164
Mercedes-Benz,sedan,177027.4,1.8,Petrol,yes,2011,C-Class,9.998797732340453
Volkswagen,sedan,313821.3,3.2,Petrol,yes,2007,Passat B6,9.277999020449997
Mercedes-Benz,sedan,363710.84,2.2,Diesel,yes,2000,E-Class,8.961879012677683
Mercedes-Benz,sedan,296118.56,1.8,Gas,yes,2008,E-Class,9.75846178048587
BMW,sedan,25749.44,3.0,Diesel,yes,2014,730,11.156250521031495
Volkswagen,hatch,189902.12,1.4,Petrol,no,2001,Lupo,7.696212639346407
BMW,sedan,411991.04,2.2,Petrol,yes,2002,5 Series,9.093806555720231
Mercedes-Benz,sedan,53108.22,1.6,Petrol,yes,2013,CLA 200,10.360912399575003
Volkswagen,other,270369.12,1.9,Diesel,yes,2006,T5 (Transporter),8.974618038455112
Toyota,crossover,156105.97999999998,3.5,Petrol,yes,2012,Highlander,10.257659366256743
Renault,van,225307.6,1.5,Diesel,yes,2012,Kangoo,8.83927669058535
BMW,vagon,450615.2,2.5,Diesel,yes,2000,525,9.088172738001974
Renault,van,263931.76,1.4,Petrol,yes,1999,Kangoo,8.039157390473237
BMW,sedan,402335.0,2.5,Petrol,yes,2000,525,9.093806555720231
Renault,sedan,209214.2,1.4,Petrol,yes,2005,Megane,8.716044050161402
BMW,sedan,418428.4,1.8,Petrol,no,1996,318,7.24422751560335
Volkswagen,van,149668.62,1.6,Diesel,yes,2012,Caddy,9.082507000466299
Renault,other,283243.83999999997,2.0,Diesel,yes,2013,Trafic,9.239802082125802
Renault,sedan,273587.8,1.6,Petrol,yes,2004,Megane,8.779557455883728
Mercedes-Benz,other,1609.34,4.7,Petrol,yes,2015,S 500,12.037653993905211
Toyota,sedan,243010.34,1.6,Gas,yes,2007,Corolla,9.116029692504942
Volkswagen,hatch,152887.30000000002,1.4,Petrol,yes,2010,Polo,9.205327830152639
Toyota,crossover,418428.4,4.7,Gas,yes,2003,Land Cruiser 100,10.106428396532818
Audi,crossover,43452.18,3.0,Diesel,yes,2013,Q7,10.849337086651827
Volkswagen,van,466708.6,1.9,Diesel,yes,2008,T5 (Transporter),9.464982590349763
Mercedes-Benz,van,402335.0,2.2,Diesel,yes,2006,Vito,8.987196820661973
Mitsubishi,sedan,180246.08000000002,2.4,Petrol,yes,2007,Galant,8.99961934066053
Renault,van,263931.76,2.0,Diesel,yes,2012,Trafic,9.22029070282935
BMW,sedan,482802.0,2.5,Diesel,no,1997,5 Series,7.549609165154532
Renault,van,300946.57999999996,2.0,Diesel,yes,2012,Trafic,9.287301413112312
Audi,sedan,376585.56,4.2,Gas,no,2004,A8,8.987196820661973
Mercedes-Benz,other,193120.8,2.6,Petrol,yes,2004,CLK 240,9.635608107380527
Volkswagen,hatch,292899.88,1.9,Diesel,no,1998,Golf IV,7.762170607138205
BMW,vagon,8046.7,0.65,Other,yes,2015,I3,10.568440998725292
Toyota,crossover,0.0,4.5,Diesel,yes,2016,Land Cruiser 200,11.512915464920228
Volkswagen,sedan,177027.4,1.8,Petrol,yes,2012,Passat B7,9.778491062361443
Volkswagen,van,381413.58,2.5,Diesel,yes,2005,Multivan,9.47262771040802
Mercedes-Benz,other,144840.6,1.8,Petrol,yes,2008,C-Class,9.825526011066415
Volkswagen,sedan,313821.3,2.0,Petrol,yes,2006,Passat B6,9.126958763037132
Volkswagen,sedan,1609.34,1.6,Other,yes,2016,Polo,9.581903928408666
Volkswagen,vagon,28968.12,1.6,Diesel,yes,2011,Passat B7,9.798127036878302
Mercedes-Benz,van,402335.0,1.7,Diesel,yes,2003,Vaneo,8.824677891164198
BMW,crossover,117481.81999999999,2.0,Petrol,yes,2011,X1,9.9281801651265
BMW,other,160934.0,5.0,Petrol,yes,2005,M5,10.239959789157341
Volkswagen,van,209214.2,2.0,Diesel,yes,2011,T5 (Transporter) ,9.273315171137572
Volkswagen,other,48280.2,1.4,Petrol,yes,2013,Scirocco,9.918376165029878
Volkswagen,vagon,429693.78,1.9,Diesel,no,1999,Passat B5,8.006367567650246
Toyota,crossover,180246.08000000002,4.5,Gas,yes,2007,Land Cruiser 100,10.136581434703507
Mitsubishi,hatch,394288.3,1.3,Petrol,no,1996,Colt,7.236339342754344
Mercedes-Benz,sedan,280025.16,4.0,Diesel,yes,2005,S 400,9.775654181026242
Mercedes-Benz,van,289681.2,2.2,Diesel,yes,2007,Vito,9.560997243589352
BMW,crossover,434521.8,4.6,Gas,yes,2004,X5,9.525151111816216
Mercedes-Benz,sedan,300946.57999999996,5.5,Petrol,yes,2007,S 550,10.081633737919603
Volkswagen,sedan,231744.96,3.6,Petrol,yes,2013,Passat CC,10.373491181781864
BMW,sedan,429693.78,2.0,Gas,yes,1991,520,8.433594167539924
Volkswagen,sedan,482802.0,1.9,Diesel,no,1998,Passat B5,7.762170607138205
Audi,vagon,257494.4,2.0,Petrol,yes,2010,A4 Allroad,9.903437551286085
BMW,sedan,125528.52,2.0,Petrol,yes,2012,528,10.271596874100524
Volkswagen,sedan,482802.0,2.8,Gas,yes,1996,Passat B4,8.242756345714477
Volkswagen,other,482802.0,1.3,Petrol,yes,1989,Golf II,7.495541943884256
Toyota,crossover,1609.34,4.5,Diesel,yes,2011,Land Cruiser 200,11.813030057420567
Volkswagen,sedan,323477.34,2.0,Petrol,yes,2007,Passat B6,9.179881164491475
Mitsubishi,other,1609.34,2.5,Diesel,yes,2016,L 200,10.140226269364646
Volkswagen,sedan,1609.34,1.6,Diesel,yes,2016,Jetta,10.1226230824528
Renault,sedan,225307.6,1.4,Petrol,yes,2011,Logan,8.51699317141357
BMW,sedan,627642.6,2.5,Petrol,yes,1991,525,8.45531778769815
Mercedes-Benz,sedan,1609.34,2.8,Petrol,yes,1997,E-Class,8.51699317141357
Mercedes-Benz,sedan,563269.0,2.7,Diesel,yes,2000,E-Class,9.137662146478197
Mercedes-Benz,sedan,209214.2,5.5,Petrol,yes,2007,S 550,10.126631103850338
Mitsubishi,crossover,238182.32,3.0,Gas,yes,2008,Pajero Sport,9.464982590349763
Audi,vagon,304165.26,2.5,Diesel,yes,2003,A6,9.179881164491475
Renault,van,102997.76,2.0,Diesel,yes,2014,Trafic,9.22029070282935
BMW,sedan,476364.64,3.0,Diesel,no,2001,730,7.937374696163295
Mercedes-Benz,van,563269.0,2.9,Diesel,yes,2000,Sprinter 312,9.51044496442652
Mitsubishi,hatch,201167.5,1.8,Petrol,yes,2009,Lancer X Sportback,9.093806555720231
Mercedes-Benz,crossover,0.0,3.0,Diesel,yes,2016,GLS 350,11.60822655382414
Mercedes-Benz,sedan,289681.2,3.2,Gas,yes,2004,E-Class,9.350102314351341
BMW,crossover,131965.88,3.0,Petrol,yes,2010,X6,10.515966830028619
Toyota,crossover,241401.0,4.0,Gas,yes,2010,Land Cruiser Prado,10.410305154904579
Volkswagen,van,407163.02,2.5,Diesel,yes,2008,T5 (Transporter),9.230142999272362
Volkswagen,sedan,0.0,1.6,Petrol,yes,2016,Jetta,9.74090979777877
Toyota,sedan,288071.86,3.0,Gas,yes,2005,Camry,9.287301413112312
Mercedes-Benz,other,159324.66,2.99,Diesel,yes,2011,E-Class,10.477287975463508
Volkswagen,hatch,251057.04,1.6,Petrol,yes,2007,Golf Plus,9.20029003612268
Renault,vagon,146449.94,1.5,Diesel,yes,2008,Scenic,8.974618038455112
Mercedes-Benz,sedan,347617.44,2.2,Diesel,yes,2007,E-Class,9.539644119118783
Volkswagen,sedan,164152.68,1.8,Petrol,yes,2011,Passat CC,9.903487552536127
Toyota,crossover,61154.92,2.2,Diesel,yes,2015,Rav 4,10.257659366256743
Mitsubishi,sedan,286462.51999999996,1.6,Petrol,yes,2007,Lancer,8.881836305004146
Mitsubishi,crossover,321868.0,2.0,Gas,yes,2006,Outlander,9.104979856318357
Audi,crossover,185074.09999999998,3.0,Diesel,yes,2010,Q7,10.505067539570582
Volkswagen,hatch,65982.94,1.0,Petrol,yes,2012,Up,8.987196820661973
Audi,other,17702.739999999998,1.8,Petrol,yes,2015,A6,10.668955394675699
Toyota,sedan,77248.32,1.4,Diesel,yes,2013,Corolla,9.525151111816216
Toyota,sedan,265541.1,1.8,Gas,yes,2006,Avensis,8.97449144816442
Renault,van,289681.2,2.0,Diesel,yes,2012,Trafic,9.546741177474825
Volkswagen,van,283243.83999999997,1.6,Diesel,yes,2012,Caddy,9.259130536145614
Mercedes-Benz,sedan,160934.0,99.99,Petrol,yes,2007,S 550,8.612503371220562
Volkswagen,other,257494.4,2.0,Diesel,yes,2012,Amarok,9.94270826568941
Volkswagen,sedan,785357.92,2.0,Petrol,yes,1991,Passat B3,7.824046010856292
Mercedes-Benz,crossover,283243.83999999997,3.2,Gas,yes,2003,G 320,10.373491181781864
Mercedes-Benz,sedan,354054.8,5.0,Petrol,yes,2004,S 500,9.581903928408666
Toyota,hatch,32186.8,1.6,Petrol,yes,2014,Auris,9.735068900911164
Mercedes-Benz,van,276806.48000000004,2.2,Diesel,yes,2013,Vito,9.517825071724143
Audi,vagon,439349.82,2.5,Diesel,no,1999,A6,7.8632667240095735
BMW,sedan,381413.58,3.0,Diesel,yes,2003,530,9.392661928770137
Volkswagen,vagon,170590.03999999998,1.6,Diesel,yes,2013,Passat B7,9.84161214881804
Toyota,crossover,136793.9,3.0,Diesel,yes,2012,Land Cruiser Prado,10.477287975463508
Mercedes-Benz,other,114263.14,5.5,Petrol,yes,2007,CL 500,10.305613759378778
Renault,other,177027.4,1.5,Diesel,yes,2012,Kangoo,8.817297783866575
BMW,crossover,188292.78,3.0,Petrol,yes,2011,X5,10.460242108190519
Volkswagen,van,284853.18,1.9,Diesel,yes,2008,T5 (Transporter) ,8.948975607841776
Renault,vagon,354054.8,1.5,Diesel,yes,2010,Megane,9.132378830506472
Renault,hatch,135184.56,1.5,Diesel,yes,2011,Kangoo,9.035986984831405
Toyota,sedan,149668.62,1.6,Petrol,yes,2013,Corolla,9.371608519572305
Mercedes-Benz,van,592237.12,2.2,Diesel,yes,2000,Vito,8.66561319653451
Toyota,crossover,289681.2,3.0,Diesel,no,2003,Land Cruiser Prado,8.68270762989381
BMW,crossover,140012.58,3.0,Diesel,yes,2011,X6,10.714395546283317
Volkswagen,van,273587.8,1.6,Diesel,yes,2013,Caddy,9.259130536145614
Mercedes-Benz,sedan,305774.60000000003,3.0,Diesel,yes,2007,E-Class,9.792555991828847
Audi,sedan,305774.60000000003,3.0,Petrol,yes,2007,A6,9.21024036697585
Audi,sedan,305774.60000000003,2.5,Diesel,yes,2003,A6,9.21024036697585
Renault,van,759608.48,2.5,Diesel,yes,2000,Master,8.496990484098719
Volkswagen,crossover,3218.68,3.0,Diesel,yes,2016,Touareg,11.018629143155449
Toyota,crossover,209214.2,5.7,Gas,yes,2009,Land Cruiser 200,10.553205175168737
Toyota,sedan,48280.2,1.6,Petrol,yes,2014,Corolla,9.78131991856192
Toyota,sedan,16093.4,1.5,Petrol,yes,1979,Corolla,6.396929655216146
Volkswagen,van,80467.0,2.0,Diesel,yes,2013,Multivan,10.92512880001811
BMW,crossover,450615.2,3.0,Diesel,yes,2005,X5,9.798127036878302
Renault,other,201167.5,1.5,Diesel,yes,2013,Kangoo,8.935903526274423
Renault,sedan,109435.12,1.5,Diesel,yes,2013,Logan,8.83927669058535
Renault,vagon,0.0,1.5,Diesel,yes,2016,Dokker,9.657273665778108
Renault,van,313821.3,2.0,Diesel,yes,2011,Trafic,9.263881138904212
Volkswagen,van,305774.60000000003,1.9,Diesel,yes,2008,T5 (Transporter),9.433483923290392
Audi,sedan,252666.38,3.0,Petrol,yes,2006,A6,9.472704636443673
BMW,sedan,458661.9,4.4,Gas,yes,1997,540,8.909235279192261
Renault,hatch,160934.0,1.5,Diesel,yes,2009,Megane,9.159047077588632
Audi,crossover,317039.98000000004,4.2,Petrol,yes,2007,Q7,9.84161214881804
Toyota,sedan,283243.83999999997,3.0,Petrol,yes,2002,Camry,8.987196820661973
Volkswagen,vagon,402335.0,1.9,Diesel,yes,2002,Passat B5,9.071078304642676
Mercedes-Benz,crossover,482802.0,3.2,Petrol,yes,1998,ML 320,9.21024036697585
Volkswagen,sedan,281634.5,2.0,Petrol,yes,2011,Passat CC,9.723163998404846
Toyota,hatch,144840.6,1.6,Petrol,yes,2012,Auris,9.539644119118783
Volkswagen,other,233354.3,2.0,Diesel,yes,2011,T5 (Transporter) ,9.836278802842678
Mitsubishi,sedan,244619.68,1.6,Petrol,yes,2006,Lancer,8.732304571033183
Renault,van,35405.479999999996,1.9,Diesel,yes,2001,Kangoo,8.1886891244442
Renault,vagon,157715.31999999998,1.4,Petrol,yes,2007,Kangoo,8.922658299524402
Renault,van,321868.0,1.9,Diesel,yes,2002,Kangoo,7.7406644019172415
Volkswagen,crossover,214042.21999999997,2.5,Diesel,yes,2007,Touareg,9.735068900911164
Mitsubishi,crossover,186683.44,2.4,Petrol,yes,2008,Outlander XL,9.510370887608827
Renault,van,289681.2,1.5,Diesel,yes,2007,Kangoo,8.648221453822641
Mitsubishi,crossover,225307.6,3.8,Gas,yes,2007,Pajero Wagon,9.792555991828847
Volkswagen,other,273587.8,1.9,Diesel,yes,2006,Multivan,9.539644119118783
Audi,vagon,268759.77999999997,2.5,Diesel,yes,2000,A6,8.980927207648378
BMW,sedan,402335.0,2.0,Petrol,yes,2003,318,9.179881164491475
Volkswagen,sedan,386241.6,1.8,Petrol,yes,2002,Passat B5,8.922658299524402
Audi,crossover,188292.78,4.2,Petrol,yes,2007,Q7,9.903437551286085
BMW,sedan,370148.19999999995,2.0,Gas,yes,2004,318,9.116029692504942
Volkswagen,hatch,117481.81999999999,1.4,Petrol,yes,2011,Golf VI,9.495519314209846
Volkswagen,hatch,35405.479999999996,1.2,Other,yes,2014,Golf VII,9.95227771670556
Audi,sedan,579362.4,1.8,Petrol,yes,1998,A6,8.794824928014517
Audi,vagon,363710.84,3.0,Diesel,no,2006,A6,8.935903526274423
Mercedes-Benz,hatch,415209.72000000003,1.7,Diesel,no,2002,A 170,8.160518247477505
Volkswagen,sedan,4828.02,1.8,Petrol,yes,1991,Passat B3,8.160518247477505
Mercedes-Benz,van,268759.77999999997,2.2,Diesel,yes,2012,Vito,9.792555991828847
Renault,vagon,460271.24,1.9,Diesel,no,2001,Laguna,7.575584651557793
Volkswagen,sedan,144840.6,1.4,Petrol,yes,2003,New Beetle,8.98594603876032
Volkswagen,sedan,514988.8,1.9,Diesel,yes,2001,Passat B5,8.779557455883728
Mitsubishi,sedan,482802.0,2.0,Diesel,yes,1996,Galant,8.160518247477505
Toyota,sedan,181855.42,2.4,Gas,yes,2009,Camry,9.55393007636626
Toyota,other,482802.0,1.6,Petrol,yes,1991,Corolla,8.00603417874901
BMW,crossover,112653.8,3.0,Diesel,yes,2014,X5,11.11095424611632
Toyota,sedan,321868.0,3.5,Gas,yes,2006,Camry,9.480367509189243
Volkswagen,sedan,482802.0,1.8,Petrol,yes,1998,Passat B5,8.83927669058535
Volkswagen,sedan,128747.2,2.0,Diesel,yes,2014,Passat B7,10.085767441795337
Mitsubishi,crossover,362101.5,2.5,Petrol,yes,1997,Pajero,8.852235835227855
Toyota,sedan,318649.32,2.4,Gas,yes,2009,Camry,9.546741177474825
Renault,van,173808.72,1.0,Diesel,yes,2013,Kangoo,8.935903526274423
Renault,vagon,289681.2,1.5,Diesel,yes,2012,Megane,9.314700387300425
Mercedes-Benz,other,418428.4,2.2,Diesel,yes,2011,Sprinter 319,9.711115659888671
Mercedes-Benz,crossover,0.0,5.5,Petrol,yes,2016,GLS 63,12.206067645517674
Mercedes-Benz,other,131965.88,5.5,Petrol,yes,2010,S 500,10.691944912900398
Audi,other,19312.08,1.8,Petrol,yes,2014,A5,10.594131602877955
